书名,作者,豆瓣评分,简介
杀死一只知更鸟,"[美]
            哈珀·李", 9.2 ,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的成长——痛苦与迷惑，悲伤与愤怒，也有温情与感动。这是爱与真知的成长经典。《杀死一只知更鸟》获1961年普利策奖。美国图书馆借阅率最高的书，英国青少年最喜爱的小说之一。美国中学推荐课外读物。由小说改编的电影获第25届奥斯卡三项大奖。美国电影协会评选的“100名银幕英雄与恶人”中，派克主演的芬奇律师名列英雄第一位。作为史上最受喜爱的小说之一，《杀死一只知更鸟》已获得显赫声誉。它赢得过普利策奖，被翻译成四十多种语言，在世界范围内售出超过三千万册，并曾被拍成，备受欢迎的电影。——哈珀•柯林斯出版集团斯塔尔六月对北卡罗来纳州律师协会发表演说时，自比为《杀死一只知更鸟》中勇敢的南方白人律师阿蒂克斯•芬奇。斯塔尔凭着他的道德优越感，不把规则、秩序和正直放在眼里，这样一个人居然自比为芬奇，实在令我和比尔难以忍受。——希拉里•克林顿年轻时看过《梅岗城故事》（即《杀死一只知更鸟》），对片中法律人为弱势者争取权益奋斗，为恶法非法或恶法亦法辩论的故事感到澎湃不已，更加确定要成为法律人的心愿。——许宗力（台大法学院院长）
我的天才女友,"[意]
            埃莱娜·费兰特", 8.5 ,只有你身为女人才会知道这些丑陋的秘密两个女人，50年的友谊和战争过去五年，几乎所有欧美读者都在谈论她、全球畅销百万册 被翻译成40种语言《金融时报》2015年度女性2016《时代》周刊“世界最有影响力的100人”希拉里·克林顿、 乔纳森·弗兰岑、詹姆斯·伍德、詹姆斯·弗兰科都是她的粉丝----------------------《我的天才女友》是埃莱娜·费兰特“那不勒斯四部曲”的第一部，讲述了两个女主人公莉拉和埃莱娜的少女时代。故事一开始，已经功成名就的埃莱娜接到莉拉儿子里诺的电话，说他母亲彻底消失了。埃莱娜想起莉拉对自己命运的预言，于是她写下她们一生的故事……莉拉和埃莱娜一起成长于那不勒斯一个破败的社区，从小形影不离，彼此信赖，但又都视对方为自己隐秘的镜子，暗暗角力。莉拉聪明，漂亮。她可以毫不畏惧地和欺凌自己的男生对质，也可以去找人人惧怕的阿奇勒﹒卡拉奇要回被他夺走的玩具；埃莱娜既羡慕莉拉的学习天赋和超人的决断力，又一直暗暗模仿莉拉。家人不支持莉拉继续求学，因此她到父亲和兄长苦苦维持的修鞋店帮工，又面临几个纨绔子弟的追求。埃莱娜则怀着对朋友的关爱、嫉妒和理解，独自继续学业，却始终无法面对和莉拉竞争的失落。最终，十六岁的莉拉决定嫁给肉食店老板，但在婚宴上，她发现了丈夫的背叛。而埃莱娜也站在成人世界的入口，既为前途担忧，也因对思想前卫的尼诺产生朦胧好感而彷徨。----------------------名家评论费兰特将两个贫穷的都市女孩之间的爱、分离和重逢，铸造成她们居住的那个城市的悲剧。——《纽约时报》埃莱娜·格雷科是一个幸存者，她必须从那些依附和挣脱的戏剧冲突中，让自己幸存下来。她带着一种幸存者的羞愧，就好像她是从莉拉的宝库盗取了对财富的允诺。——《纽约客》和索福克勒斯或者奥维德一样，费兰特处理的也是命运的问题。莉拉是一个造物主，一个神话般的人物。——《大西洋月刊》焦虑、疲惫、女性经期……费兰特探索了所有我们恐惧的题材。费兰特笔下的女人们切肤地体验了被抛弃、不公和汹涌的情感——这些不再是被当作弱点、而被作为一种事实来看待。——《新共和》和卡夫卡一样，费兰特将她的主人公的内心世界揭露得一览无余。——《卫报》《我的天才女友》是一部单声道（而非双声道）的成长小说；我们从很早就意识到，莉拉还困在自己的世界里，而作者，埃莱娜则会挣脱那个世界。——《泰晤士文学增刊》
方向,"[法]
            马克-安托万·马修", 9.0 ,欧洲艺术漫画奇才马修全新烧脑神作图像小说内容和形式上的双重突破智力与想象力的乐趣背后，是深刻的哲学探讨...................※编辑推荐※《画的秘密》作者马克-安托万·马修烧脑神作之二，是一次挑战漫画极限的艺术实验。马修以极简的画面语言构建了一 个庞大无比的迷宫，一个无名的人在其中跟随着莫名其妙的箭头，从一维跨到多维，从微观转到宏观……《方向》即便在马修的作品中也算得最独特的：不着一字，尽得风流。原作本无一字，标题只是一个→，出版时才加了个书名Sens——既可以指“方向”，也可以指“意义”。《方向》没有“字”，但有自己的语言——请读者在尽情释放想象力和独立思考之余，破解作者的密码，听听作者对荒诞的看法。...................※内容简介※一个无名的人在一片空茫茫的世界里跟随箭头前进、前进……他要去哪里？不知道。意义是什么？不知道。好了，面对这样一本奇书，每一个字的介绍都是多余的。聪明的你，跟紧了→...................※媒体推荐※当代西西弗在荒诞的迷宫里随着存在中的偶然不断游走。——布鲁塞尔专题画展介绍辞跟卡夫卡、博尔赫斯、贝克特和佩索阿的结合体最接近的一部漫画。——法国《世界报》一部了不起的风格尝试之作，带我们跳出时间和日常生活，摆脱物质的纠缠。——ActuaBD马修的聪明之处在于将深刻的底色掩盖在机巧的形式之下：大胆的表象底下藏着腼腆的人道主义。——Esprit BD
1984,"[英]
            乔治·奥威尔", 9.3 ,★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的100本英语小说”★兰登书屋“100本20世纪最佳英语小说”★入选英美中学生必读书书目1936年以来，我所写的每一部严肃作品，都是直接或间接地反对极权主义，支持我所理解的民主社会主义。                             ——乔治•奥威尔（《我为何写作》）《1984》是一部杰出的政治寓言小说，也是一部幻想小说。作品刻画了人类在极权主义社会的生存状态，有若一个永不退色的警示标签，警醒世人提防这种预想中的黑暗成为现实。历经几十年，其生命力益显强大，被誉为20世纪影响最为深远的文学经典之一。
活着,余华, 9.1 ,地主少爷福贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已经去世，妻子家珍含辛茹苦带大了一双儿女，但女儿不幸变成了聋哑人，儿子机灵活泼……然而，真正的悲剧从此才开始渐次上演，每读一页，都让我们止不住泪湿双眼，因为生命里难得的温情将被一次次死亡撕扯得粉碎，只剩得老了的福贵伴随着一头老牛在阳光下回忆。
被仰望与被遗忘的,"[美]
            盖伊·特立斯", 8.5 ,新新闻主义之父 盖伊·特立斯 初试啼声，即成经典20世纪最伟大的非虚构书写 全世界特稿写作者的典范每个匆匆行走在城市中的人，都有一身故事：歌星辛纳屈 玛丽莲·梦露的丈夫、棒球手迪马乔 《纽约时报》讣告记者 地铁站售票员 修路架桥工人特立斯之前，没有人如此打量城市：每天，纽约人要喝下46万加仑啤酒，吃掉350万磅肉，消耗21英里长的牙线。在这座城里，每天有250人死去，460人出生，15万人戴着玻璃或塑料假眼行走；这里还有500个巫师、600尊雕塑或纪念碑、3万只鸽子……哥谭的秘密生活——《纽约—— 一位猎奇者的足迹》一些看似无关紧要的数字和芸芸众生构成了这座城市的魅力。“新新闻之父”融会短篇小说文学语言的早期实例，其技巧和水准至今为后来者追摹。20世纪最伟大的非虚构书写——《弗兰克•辛纳屈感冒了》两月贴身酒吧、赌场、拳击赛、高尔夫，追询辛纳屈之友、随从、女儿、母亲、歌迷、酒保……就算巨星感冒了，特立斯仍尽得风流。20世纪最优秀的体育写作、最好的杂志文章——《一位英雄的暮年》棒球传奇、玛丽莲•梦露的前夫之一乔•迪马乔，退出公众视野十数载，喧嚣浮华早已散尽，特立斯技惊文坛的看家本领、绕不过去的体育书写，且看英雄迟暮、过河入林。这是一部纽约交响曲。作者特立斯以他犀利的眼光，精准的笔法向我们展示了纽约风貌：面目模糊的人潮中不为人知的奇闻轶事，镁光灯下的明星转身之后的尴尬境遇。俱乐部门口的擦鞋匠、高级公寓的门卫、公交车司机、大厦清洁工、建筑工人，与弗兰克·辛纳屈、乔·迪马乔、彼得·奥图尔等明星一样受特立斯尊重，他以同样的好奇心对待他们。全书由《纽约：一位猎奇者的足迹》《大桥》和《走向深处》三部分组成。《纽约：一位猎奇者的足迹》描绘了纽约城中不太为人所知的人物和事件，特立斯捕捉细节的功力凸显无疑。《大桥》讲述的是建设纽约韦拉扎诺大桥给当地居民生活带来的影响及流动修桥工的生活。修桥工都是些默默无闻的普通人，可正是这些工人冒着生命危险，建成了美国无数的大桥和纽约城里一座座大桥和摩天大楼。“他们把一个个的地方用大桥连接起来了，可他们自己的生活却支离破碎。”《走向深处》由11篇美国社会知名人物的小传构成，这些人物基本上涵盖了当时美国社会生活的各个主要方面。
灯塔,"[法]
            克里斯多夫·夏布特", 8.9 ,若未知的世界让人心生恐惧，我们是自我封闭，还是勇敢走出去？欧洲著名漫画诗人夏布特最敏感忧伤的“慢镜头图像小说”讲述人类心底无法承受的孤独和渴望拥有的自由...................※编辑推荐※这是一部探索现代人内在情感的图像小说，引导读者直面人生中的种种精神困境。故事讲述了一个被父母之爱所“禁闭”、只能靠想象力生活的畸形怪人，渐渐在词典的语言碎片和无名水手的帮助下，找到了真正属于他自己的人生。作品以独特的“慢镜头”叙事方法勾勒出人性中的美丑、孤独、胆怯、恐惧……具有极深的哲学意义和艺术价值。希望《灯塔》能为深处浮躁社会的我们，寻得一盏明净的灯光，照亮那被遗忘的自信、善心和勇气。也许，这里会成为你下一个独自出航的港口，夜色庇护，此处独明。★ 《灯塔》是2009年安古兰国际漫画节入选作品，目前已有德语、日语、西班牙语、波兰语等多国语言版本。它在2015年4月还被法国话剧导演搬上戏剧舞台。★ 《灯塔》呈现了图像小说中独有的慢镜头叙事手法，用丰富的景别转换和对剪影、轮廓的细致描绘推进故事情节。同时，作品还巧妙捕捉了事物在各个角度呈现的情感意象，充满了神秘的哲学气质。★ 《灯塔》作者克里斯多夫·夏布特是曾两次获得安古兰国际漫画节大奖的法国作家，画风干净有力又不失细腻。他曾改编过阿蒂尔·兰波、赫尔曼·梅尔维尔和杰克·伦敦等文学家的经典作品，被业界誉为“漫画家中的诗人”。其中，他根据美国著名现实主义作家杰克·伦敦的短篇小说《生火》改编的同名漫画，也即将由后浪出版公司出版，敬请关注。...................※内容简介※茫茫大海上的一座灯塔里，住着一位畸形怪人。因为相貌丑陋，他自出生起就被藏在塔中，与世隔绝地生活了五十年。父母留下的旧词典，是他认识外界的唯一窗口，在每个孤独的夜晚，点亮他想象中的世界。当他闭上眼睛、用手随意指向一个单词时，那些荒诞离奇的画面便接踵而来……直到有一天，渔船上新来了一位沉默寡言的水手，他用自己别样的方式，轻轻敲开了怪人心底紧锁的大门……...............※推荐语※《灯塔》堪称一部发人深省的哲学漫画，作者创造了一个异化、空虚的独特空间，具有强烈的现实主义意味。作品的结尾正好与我的想法不谋而合，它在结束的同时又开启了比孤独更为深远的课题——无私与宽容。——漫画家Joël Heirman376页至纯至深的情感，温情和幽默，忧伤和欢喜，互相交错，如梦如幻，它让我思考，又让我心碎。感谢夏布特，带给我一段如此凄美的孤独旅程。——日本读者夏布特从来都不惧挑战，这一回他选择了大海作为故事背景，仅仅开头几页就显示出他过人的才气。——2008年法国《读书》杂志9月刊一部极简主义的黑白作品，却绽放出如此强烈的人性光辉。——法国漫画书评网
飘,"[美]
            玛格丽特·米切尔", 9.3 ,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环境的恶化，郝思嘉的叛逆个性越来越丰满，越鲜明，在一系列的的挫折中她改造了自我，改变了个人甚至整个家族的命运，成为时代时势造就的新女性的形象。作品在描绘人物生活与爱情的同时，勾勒出南北双方在政治，经济，文化各个层次的异同，具有浓厚的史诗风格，堪称美国历史转折时期的真实写照，同时也成为历久不衰的爱情经典。
斯通纳,"[美]
            约翰·威廉斯", 8.8 ,《斯通纳》讲述了生命中最重要的部分：爱，认同，怜悯，志业，傲骨，信任与死亡。一个勇者有过的失败不失意的人生：即使不能拥有完美的生活，所幸追求过完整的自我。美国，密苏里州。来自偏远农场的农家子弟、19岁的威廉·斯通纳进入州立密苏里大学学习农学。自一堂选修文学课为起点， 他的一生就此悄然改变。未来的斯通纳成为了一名大学老师，结婚、生子、教学、退休、衰老、死亡。在他生命的尽头，或许他可以坦然面对这个问题：你的一生，还要期望别的什么吗？一部蕴含着真诚、激情与紧凑力量的小说，探究了历史洪流所忽视的人性之间的冲突、溃败与幸存，重新唤起思考每个个体独特存在的意义。作者约翰·威廉斯向世人展示了凡人中的勇者在如何生活。----------------------------------------威廉斯的写作显得澄澈、节制却准确。就像被打磨光滑的橡木上反射出本色、持久的光泽。它的行文结构潜藏得不为人察觉，且毫无瑕疵，像一栋房子，精妙绝伦到绝无仿制再建的可能。《斯通纳》一书的伟大之处在于，它以不带一丝一毫悲喜的冷静洞察了生活本质的全部。它从本质上触及了预见期待的与真实体验的生活间的落差……《斯通纳》迟到五十年后畅销，是献给被亏欠的艺术一次迟来的正名。 ——《纽约客》斯通纳活过，然后死去，如你我一样。他生活中发生的每一件事就发生在你我面前，看似平淡。然而，写出这种“简单”却需要天才才能完成。读这本书是一本令人难过却又美妙的阅读体验。 ——《星期日泰晤士报》约翰·威廉斯的《斯通纳》刻画了一个将追求智识当作对抗无意义的战争、拒绝与外部世界作廉价妥协的人的一生。它的意义或许不只是一部伟大的小说——它简直是一部几近完美的小说，机构精巧，语言优美，故事动人，展示着一种夺人心魄的完美。 ——《纽约时报》一件文学的珍宝。 ——《明镜周刊》拥有超乎寻常的力量……直击生活的真相，语言清澈优美。它是一部献给所有热爱文学之人的传奇。 ——伊恩·麦克尤恩一本精彩绝伦的小说，既丰富又忧郁，记录着伤痛与失去的同时也留存了美好温柔的时刻。这本小说完美展现了小说艺术的要素，它的叙事节奏与情节构架均堪称完美无缺。这本小说像一条河流，冷静而又流畅的平静笔调裹挟着磅礴延绵的力量。 ——亚当·福尔兹
房思琪的初戀樂園,林奕含, 8.8 ,令人心碎卻無能為力的真實故事。性、權力、升學主義──青澀的表皮、變態社會的日常如果這件事情正在發生，我們要怎麼假裝世界上沒有人以強暴小女孩為樂？「我下樓拿作文給李老師改。他掏出來，我被逼到塗在牆上。老師說了九個字：『不行的話，嘴巴可以吧。』我說了五個字：『不行，我不會。』他就塞進來。那感覺像溺水。可以說話之後，我對老師說：『對不起。』有一種功課做不好的感覺。」痛苦的際遇是如此難以分享，好險這個世界還有文學。小小的房思琪住在金碧輝煌的人生裡，她的臉和她可以想像的將來一樣漂亮。補習班國文名師李國華是同一棟高級住宅的鄰居。崇拜文學的小房思琪同樣崇拜飽讀詩書的李老師。有一天李老師說，妳的程度這麼好，不如每個禮拜交一篇作文給我吧，不收妳周點費。思琪聽話地下樓了。老師在家裡等她，桌上沒有紙筆。思琪的初戀是李老師。因為李老師把她翻面，把他的東西塞進去。那年的教師節思琪才十三歲，這個世界和她原本認識的不一樣。如果這是愛情，為什麼覺得暴力？為什麼覺得被折斷？為什麼老師要一個女學生換過一個女學生？如果這不是愛情，那滿口學問的李老師怎麼能做了以後，還這麼自信、無疑、無愧於心？這是一部驚人而特別的小說，小說作者既具有高度敏銳的感受力、又是一個近距離目擊者，使這整件事像一個「倖存的標本」那樣地被保留下來。整本書反覆地、用極度貼近被侵害者的視角，直直逼視那種「別人奪去妳某個珍貴之物」的痛苦──且掠奪之人是以此為樂。
你一生的故事,"[美]
            特德·姜", 8.6 ,一瞥之下，过去与未来轰轰然同时并至，我的意识成为长达半个世纪的灰烬，时间未至已成灰。五十年诸般纷纭并发眼底，我的余生尽在其中。还有，你的一生。《你一生的故事》结集特德·姜早期的七篇作品：代表作《你一生的故事》、处女作《巴比伦塔》以及《领悟》、《除以零》、《七十二个字母 》、《人类科学之演变》、《地狱是上帝不在的地方》——一个语言学家学会了一门外星语言，彻底改变了她的世界观。过去、现在、未来，在她眼前同时展开。为了离上帝更近，人类伐木烧砖，拉车砌塔，经过无数个世代的辛劳，终于建成一座巍峨耸立于天地之间的通天塔。只要一小瓶药水，就能拥有超人智慧，这个诱惑无人能挡。可惜超人不止一个，荡气回肠的超人对决之后，领悟终极的智慧。任何数字除以零，都不会得出一个有意义的结果。两个人的感情除以零，结果是什么？在一个“名字驱动一切”的世界，命名师们玩转七十二个字母，寻找人类种族繁衍的密码。当人类的所有科学研究仅仅局限在解读后人类的科研成果时，这种研究是否还有存在的必要？妻子在天使下凡时去世，丈夫却必须学习如何热爱上帝，以便死后与妻子团聚。
世界的凛冬,"[英]
            肯·福莱特", 9.2 ,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！火遍全球的20世纪人类史诗“世纪三部曲”第二部。美国《纽约时报》小说畅销榜第1名！加拿大书商协会畅销书排行榜第1名！德国小说类畅销书排行榜年度第1名！意大利小说类畅销排行榜年度第1名！西班牙《真理报》畅销书榜第1名！丹麦Bog & idé畅销书榜第1名！整个20世纪的吉光片羽，都被肯•福莱特写进了这部伟大的小说里。一切都始于那个裂变中的大时代——希特勒上台，爱德华八世退位，原子弹在广岛和长崎爆炸……世界剧烈改变，我该怎么办？这正是他们的困惑——一群处于人生黄金时代的少男少女，来自德国、美国、英国、苏俄和威尔士的五大家族，他们父辈的命运因一战而彻底改变。如今，世界再次破碎，甚至更加暴烈和残酷。然而，这就是他们的时代！在时间的永恒流动中，每个人都在创造历史。所以，为什么不一起来，会一会命运？
百年孤独,"[哥伦比亚]
            加西亚·马尔克斯", 9.2 ,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。
巨人的陨落,"[英]
            肯·福莱特", 9.0 ,在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。
1984,"[英]
            乔治·奥威尔", 9.3 ,★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的100本英语小说”★兰登书屋“100本20世纪最佳英语小说”★入选英美中学生必读书书目1936年以来，我所写的每一部严肃作品，都是直接或间接地反对极权主义，支持我所理解的民主社会主义。                             ——乔治•奥威尔（《我为何写作》）《1984》是一部杰出的政治寓言小说，也是一部幻想小说。作品刻画了人类在极权主义社会的生存状态，有若一个永不退色的警示标签，警醒世人提防这种预想中的黑暗成为现实。历经几十年，其生命力益显强大，被誉为20世纪影响最为深远的文学经典之一。
二手时间,"[白俄]
            S·A·阿列克谢耶维奇", 8.8 ,2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文学作品（2014）、波兰卡普钦斯基报告文学奖（2015）本书是白俄罗斯著名作家阿列克谢耶维奇最新作品，通过口述采访的形式，展现身处关键历史时刻的普通人的生活。本书讲述了苏联解体后，1991年到2012年二十年间的痛苦的社会转型中，俄罗斯普通人的生活，为梦想破碎付出的代价。在书中，从学者到清洁工，每个人都在重新寻找生活的意义。他们的真实讲述同时从宏观和微观上呈现出一个重大的时代，一个社会的变动，为这一段影响深远的历史赋予了人性的面孔。苏联解体已逾二十年，俄罗斯人重新发现了世界，世界也重新认识了俄罗斯。新一代已经成长起来，他们的梦想已不再关乎梦想，不再像90年代他们的父辈，关心信仰。二十年来，人们看了崭新的俄罗斯，但她却早已不是任何人曾经梦想过的俄罗斯了。作者追溯了苏联和苏联解体之后的历史过程，让普通的小人物讲述他们自己的故事，从而展现出身处历史的转折，以及人们如何追寻信仰、梦想，如何诉说秘密和恐惧，让人们重新思考什么是“俄罗斯”和“俄罗斯人”，为什么他们无法适应急剧的现代化，为什么再近两百年之后，依然与欧洲相隔。本书分为上下两部分，采访了生长于理想之下的俄罗斯人和今天的俄罗斯人，以及阿塞拜疆等前苏联国家的普通人，呈现他们的生活细节，所感所想。德国媒体盛赞该书撷取的是最为细小的马赛克，却拼出了一幅完整的后苏联时代图景。“一部20世纪后半叶的微观俄国史，笔力直抵普京时代。”
散步去,"[日]
            谷口治郎", 8.7 ,中年男士和家人搬到小镇上，开始了散步的日子。行走过如同睡去的街区，攀爬过微缩的富士山景，观察富有生趣的动物，欣赏不期而至的风景。散步中，不同的人们交会了，不同的人生也在交错着。轻松、安静、徐缓，时有偶遇、时有惊喜。看似平凡的散步，为日常注入了新的元素。《散步去》汇集了 谷口治郎18 篇散步的故事，同时收录了短篇漫画《梦》《东京幻觉》《月夜》。《散步去》是享誉欧美的日本漫画大师、《孤独的美食家》作画者谷口治郎的代表作，以堪比小津安二郎镜头的画笔描绘了日常的散步之乐和生活之美，充满诗意、沁人心脾，让如今在快节奏生活中身不由己的读者，会心一笑又深深思考。
霍乱时期的爱情,"[哥伦比亚]
            加西亚·马尔克斯", 8.9 ,★马尔克斯唯一正式授权，首次完整翻译★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯★这部光芒闪耀、令人心碎的作品是人类有史以来最伟大的爱情小说。——《纽约时报》《霍乱时期的爱情》是加西亚•马尔克斯获得诺贝尔文学奖之后完成的第一部小说。讲述了一段跨越半个多世纪的爱情史诗，穷尽了所有爱情的可能性：忠贞的、隐秘的、粗暴的、羞怯的、柏拉图式的、放荡的、转瞬即逝的、生死相依的……再现了时光的无情流逝，被誉为“人类有史以来最伟大的爱情小说”，是20世纪最重要的经典文学巨著之一。
活着,余华, 9.1 ,地主少爷福贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已经去世，妻子家珍含辛茹苦带大了一双儿女，但女儿不幸变成了聋哑人，儿子机灵活泼……然而，真正的悲剧从此才开始渐次上演，每读一页，都让我们止不住泪湿双眼，因为生命里难得的温情将被一次次死亡撕扯得粉碎，只剩得老了的福贵伴随着一头老牛在阳光下回忆。
月亮和六便士,"[英]
            威廉·萨默塞特·毛姆", 8.9 ,一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够理解。他在异国不仅肉体受着贫穷和饥饿煎熬，而且为了寻找表现手法，精神亦在忍受痛苦折磨。经过一番离奇的遭遇后，主人公最后离开文明世界，远遁到与世隔绝的塔希提岛上。他终于找到灵魂的宁静和适合自己艺术气质的氛围。他同一个土著女子同居，创作出一幅又一幅使后世震惊的杰作。在他染上麻风病双目失明之前，曾在自己住房四壁画了一幅表现伊甸园的伟大作品。但在逝世之前，他却命令土著女子在他死后把这幅画作付之一炬。通过这样一个一心追求艺术、不通人性世故的怪才，毛姆探索了艺术的产生与本质、个性与天才的关系、艺术家与社会的矛盾等等引人深思的问题。同时这本书也引发了人们对摆脱世俗束缚逃离世俗社会寻找心灵家园这一话题的思考，而关...
活着为了讲述,"[哥伦比亚]
            加西亚·马尔克斯", 9.0 ,一生中总会遇到一本书，奠定你人生的基调。★《百年孤独》作者马尔克斯唯一自传生活不是我们活过的日子，而是我们记住的日子，我们为了讲述而在记忆中重现的日子。★就算走到绝境，失去耐心，也要永远保有幽默感，热爱生活，这是我们人生最大的财富。给所有在梦想的路上走得磕磕绊绊的人★ “我年轻过，落魄过，幸福过，我对生活一往情深。”——加西亚•马尔克斯诺奖得主、纯文学畅销奇迹创造者马尔克斯的成长故事：充满魔幻色彩的真实人生。★ 正是回忆中的这些细节、生命中的这些人将马尔克斯带到了《百年孤独》的门口； 能够解开《百年孤独》密码的，只有《活着为了讲述》；马尔克斯小说中的人物都能在本书中找到原型。★ 首版首次赠限量别册（含地图、人名索引、加博书单、作品年表）+ 雕刻时光咖啡券=======================“要么写作，要么死去”他是举世闻名的文学大师，《百年孤独》《霍乱时期的爱情》等传世巨著的作者，被誉为“20世纪的文学标杆”。同时，他也是一个爱讲故事的孩子。他说，他努力写出精彩的故事，只是为了让朋友们更爱他。他是加西亚•马尔克斯。《活着为了讲述》是加西亚•马尔克斯唯一自传。这一次，他亲自讲述自己的故事。“下个月，我就满二十三岁了。我逃过兵役，义无反顾地每天抽六十根劣质香烟，天黑了，就随便在哪儿凑合一夜。前途一抹黑，生活一团糟……前行的道路上充满了陷阱、推诿、幻想，更要竭力避开无数的诱惑：似乎我干哪行都行，就是当不了作家。”二十二岁的最后一个月，陪母亲回乡卖房子，这不仅是这本书的开篇，也标志着马尔克斯文学生命的开始。从那时起，儿时所有记忆深刻的人与事、贪婪的阅读经历、身边各种奇特的现实、向权威与成规挑战的勇气将他带进了“写作”这个甜蜜而痛苦的陷阱。外祖母神奇的鬼怪世界、外祖父的战争故事、挥之不去的老宅记忆、求学经历中的奇遇与机遇、启发并滋养过他的记者生涯……搞不清楚幸福与疯癫区别的亲戚、一起经受过狂风暴雨考验的朋友、萍水相逢却难以忘记的过客……贫苦与乐观，迷茫与执着，颓废与疯狂，经过记忆与文字的洗淘，闪耀着永恒的诗意的光芒。
杀死一只知更鸟,"[美]
            哈珀·李", 9.2 ,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的成长——痛苦与迷惑，悲伤与愤怒，也有温情与感动。这是爱与真知的成长经典。《杀死一只知更鸟》获1961年普利策奖。美国图书馆借阅率最高的书，英国青少年最喜爱的小说之一。美国中学推荐课外读物。由小说改编的电影获第25届奥斯卡三项大奖。美国电影协会评选的“100名银幕英雄与恶人”中，派克主演的芬奇律师名列英雄第一位。作为史上最受喜爱的小说之一，《杀死一只知更鸟》已获得显赫声誉。它赢得过普利策奖，被翻译成四十多种语言，在世界范围内售出超过三千万册，并曾被拍成，备受欢迎的电影。——哈珀•柯林斯出版集团斯塔尔六月对北卡罗来纳州律师协会发表演说时，自比为《杀死一只知更鸟》中勇敢的南方白人律师阿蒂克斯•芬奇。斯塔尔凭着他的道德优越感，不把规则、秩序和正直放在眼里，这样一个人居然自比为芬奇，实在令我和比尔难以忍受。——希拉里•克林顿年轻时看过《梅岗城故事》（即《杀死一只知更鸟》），对片中法律人为弱势者争取权益奋斗，为恶法非法或恶法亦法辩论的故事感到澎湃不已，更加确定要成为法律人的心愿。——许宗力（台大法学院院长）
